Cluster_ID	sample_1	sample_2	sample_3
Cluster.0	20.000000	39.000000	24.000000	
Cluster.1	19.000000	17.000000	16.000000	
Cluster.2	26.000000	26.000000	28.000000	
Cluster.3	21.000000	31.000000	17.000000	
Cluster.4	21.000000	23.000000	30.000000	
Cluster.5	20.000000	16.000000	23.000000	
Cluster.6	31.000000	23.000000	17.000000	
Cluster.7.0	94.000000	96.000015	90.000008	
Cluster.8.0	51.000000	62.000000	60.000000	
Cluster.9.0	67.000015	66.000015	88.000038	
Cluster.10.0	127.000114	136.000137	119.000076	
Cluster.11.0	120.000092	120.000069	143.000137	
Cluster.12.0	100.000000	111.000008	106.000000	
