Cluster_ID	sample_data/arab_bam_30contigs/compacta_files/arabSample		
Cluster.0	20.000000	39.000000	24.000000
Cluster.1	19.000000	17.000000	16.000000
Cluster.2	26.000000	26.000000	28.000000
Cluster.3	21.000000	31.000000	17.000000
Cluster.4	21.000000	23.000000	30.000000
Cluster.5	20.000000	16.000000	23.000000
Cluster.6	31.000000	23.000000	17.000000
Cluster.7.0	94.000000	96.000000	90.00009
Cluster.8.0	51.000000	62.000000	60.00000
Cluster.9.0	67.000000	66.000000	87.99990
Cluster.10.0	127.000000	136.000000	119.00000
Cluster.11.0	120.000000	120.000000	143.00000
Cluster.12.0	99.999893	111.000000	106.00009
