Contig	Status
AT1G32415.1	SC
AT1G33030.1	SC
AT1G33055.1	SC
AT1G33835.1	SC
AT1G34245.1	SC
AT1G34290.1	SC
AT1G34044.1	SC
AT1G35340.4	NC
AT1G35340.1	NC
AT1G35340.2	NC
AT1G35340.3	NC
AT1G35420.1	NC
AT1G35420.2	NC
AT1G34120.1	NC
AT1G34120.2	NC
AT1G34120.3	NC
AT1G32410.1	NC
AT1G32410.2	NC
AT1G32410.3	NC
AT1G32410.4	NC
AT1G32410.5	NC
AT1G33970.1	NC
AT1G33970.2	NC
AT1G33970.3	NC
AT1G33970.4	NC
AT1G33970.5	NC
AT1G33050.1	NC
AT1G33050.2	NC
AT1G33050.3	NC
AT1G33050.4	NC
